AssetID,DownloadAttribute,Filetype,Size,PrettyDownloadLink,RawDownloadLink
PaintedPlaster008,4K-JPG,zip,74915009,https://cc0textures.com/get?file=PaintedPlaster008_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PaintedPlaster008_mg9toa73/PaintedPlaster008_4K-JPG.zip
PaintedPlaster008,4K-PNG,zip,281291272,https://cc0textures.com/get?file=PaintedPlaster008_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PaintedPlaster008_mg9toa73/PaintedPlaster008_4K-PNG.zip
PaintedPlaster008,8K-JPG,zip,318553246,https://cc0textures.com/get?file=PaintedPlaster008_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PaintedPlaster008_mg9toa73/PaintedPlaster008_8K-JPG.zip
PaintedPlaster008,8K-PNG,zip,1145597444,https://cc0textures.com/get?file=PaintedPlaster008_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PaintedPlaster008_mg9toa73/PaintedPlaster008_8K-PNG.zip
PaintedPlaster007,2K-JPG,zip,20467079,https://cc0textures.com/get?file=PaintedPlaster007_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PaintedPlaster007_m9xtv7qk/PaintedPlaster007_2K-JPG.zip
PaintedPlaster007,2K-PNG,zip,71182003,https://cc0textures.com/get?file=PaintedPlaster007_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PaintedPlaster007_m9xtv7qk/PaintedPlaster007_2K-PNG.zip
PaintedPlaster007,4K-JPG,zip,77911613,https://cc0textures.com/get?file=PaintedPlaster007_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PaintedPlaster007_m9xtv7qk/PaintedPlaster007_4K-JPG.zip
PaintedPlaster007,4K-PNG,zip,279788079,https://cc0textures.com/get?file=PaintedPlaster007_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PaintedPlaster007_m9xtv7qk/PaintedPlaster007_4K-PNG.zip
PaintedPlaster007,8K-JPG,zip,325163002,https://cc0textures.com/get?file=PaintedPlaster007_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PaintedPlaster007_m9xtv7qk/PaintedPlaster007_8K-JPG.zip
PaintedPlaster007,8K-PNG,zip,1130980001,https://cc0textures.com/get?file=PaintedPlaster007_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PaintedPlaster007_m9xtv7qk/PaintedPlaster007_8K-PNG.zip
